yearMonth,elementType,averageValue
176710,TMAX,15.84
176710,TMIN,10.56
176711,TMAX,8.06
176711,TMIN,5.33
176712,TMAX,2.32
176712,TMIN,-0.06
176801,TMAX,0.55
176801,TMIN,-2.12
176802,TMAX,4.12
176802,TMIN,-0.01
176803,TMAX,9.44
176803,TMIN,3.45
176804,TMAX,16.26
176804,TMIN,10.88
176805,TMAX,19.74
176805,TMIN,14.13
176806,TMAX,22.89
176806,TMIN,16.95
176807,TMAX,27.83
176807,TMIN,21.16
176808,TMAX,27.12
176808,TMIN,20.86
176809,TMAX,20.37
176809,TMIN,15.32
176810,TMAX,14.34
176810,TMIN,10.79
176811,TMAX,9.48
176811,TMIN,6.67
176812,TMAX,2.66
176812,TMIN,0.44
176901,TMAX,4.41
176901,TMIN,1.74
176902,TMAX,5.01
176902,TMIN,1.35
176903,TMAX,10.22
176903,TMIN,4.9
176904,TMAX,15.85
176904,TMIN,11.01
176905,TMAX,21.02
176905,TMIN,15.03
176906,TMAX,25.72
176906,TMIN,19.8
176907,TMAX,26.25
176907,TMIN,19.97
176908,TMAX,26.82
176908,TMIN,19.78
176909,TMAX,22.83
176909,TMIN,16.92
176910,TMAX,12.69
176910,TMIN,8.73
176911,TMAX,10.03
176911,TMIN,7.52
176912,TMAX,4.62
176912,TMIN,2.14
177001,TMAX,1.62
177001,TMIN,-1.38
177002,TMAX,6.9
177002,TMIN,2.75
177003,TMAX,9.93
177003,TMIN,5.33
177004,TMAX,14.94
177004,TMIN,9.44
177005,TMAX,19.5
177005,TMIN,14.48
177006,TMAX,25.36
177006,TMIN,19.28
177007,TMAX,26.0
177007,TMIN,19.66
177008,TMAX,26.43
177008,TMIN,19.74
177009,TMAX,24.2
177009,TMIN,18.33
177010,TMAX,15.73
177010,TMIN,12.12
177011,TMAX,9.97
177011,TMIN,7.18
177012,TMAX,2.88
177012,TMIN,0.74
177101,TMAX,4.15
177101,TMIN,1.44
177102,TMAX,5.0
177102,TMIN,0.82
177103,TMAX,9.57
177103,TMIN,4.9
177104,TMAX,13.46
177104,TMIN,8.18
177105,TMAX,22.01
177105,TMIN,16.68
177106,TMAX,24.09
177106,TMIN,18.39
177107,TMAX,28.05
177107,TMIN,21.11
177108,TMAX,27.05
177108,TMIN,20.07
177109,TMAX,22.46
177109,TMIN,17.14
177110,TMAX,16.48
177110,TMIN,12.12
177111,TMAX,7.57
177111,TMIN,4.13
177112,TMAX,6.39
177112,TMIN,4.46
177201,TMAX,3.69
177201,TMIN,1.48
177202,TMAX,8.83
177202,TMIN,5.26
177203,TMAX,12.79
177203,TMIN,8.43
177204,TMAX,15.81
177204,TMIN,10.81
177205,TMAX,19.42
177205,TMIN,14.65
177206,TMAX,26.42
177206,TMIN,20.05
177207,TMAX,28.15
177207,TMIN,21.95
177208,TMAX,26.49
177208,TMIN,20.47
177209,TMAX,22.38
177209,TMIN,16.91
177210,TMAX,17.74
177210,TMIN,13.41
177211,TMAX,11.29
177211,TMIN,8.79
177212,TMAX,6.14
177212,TMIN,4.04
177301,TMAX,4.12
177301,TMIN,1.33
177302,TMAX,4.54
177302,TMIN,0.5
177303,TMAX,9.79
177303,TMIN,4.5
177304,TMAX,15.42
177304,TMIN,9.95
177305,TMAX,19.72
177305,TMIN,14.63
177306,TMAX,23.11
177306,TMIN,16.92
177307,TMAX,25.57
177307,TMIN,19.22
177308,TMAX,25.02
177308,TMIN,18.55
177309,TMAX,22.81
177309,TMIN,17.27
177310,TMAX,17.79
177310,TMIN,13.39
177311,TMAX,9.04
177311,TMIN,6.33
177312,TMAX,5.9
177312,TMIN,4.08
177401,TMAX,2.35
177401,TMIN,-0.36
177402,TMAX,5.59
177402,TMIN,1.49
177403,TMAX,11.43
177403,TMIN,6.55
177404,TMAX,16.09
177404,TMIN,11.03
177405,TMAX,19.48
177405,TMIN,14.46
177406,TMAX,24.7
177406,TMIN,18.76
177407,TMAX,26.9
177407,TMIN,20.12
177408,TMAX,28.13
177408,TMIN,21.2
177409,TMAX,21.38
177409,TMIN,16.08
177410,TMAX,14.35
177410,TMIN,9.83
177411,TMAX,6.86
177411,TMIN,4.17
177412,TMAX,0.42
177412,TMIN,-1.93
177501,TMAX,2.19
177501,TMIN,-0.99
177502,TMAX,7.74
177502,TMIN,3.44
177503,TMAX,10.95
177503,TMIN,4.99
177504,TMAX,13.66
177504,TMIN,6.58
177505,TMAX,18.52
177505,TMIN,12.2
177506,TMAX,24.51
177506,TMIN,17.47
177507,TMAX,26.13
177507,TMIN,19.39
177508,TMAX,25.68
177508,TMIN,18.52
177509,TMAX,22.19
177509,TMIN,14.88
177510,TMAX,15.58
177510,TMIN,10.59
177511,TMAX,7.29
177511,TMIN,4.43
177512,TMAX,2.66
177512,TMIN,-0.28
177601,TMAX,-2.36
177601,TMIN,-5.81
177602,TMAX,5.71
177602,TMIN,1.2
177603,TMAX,10.58
177603,TMIN,4.44
177604,TMAX,14.34
177604,TMIN,7.63
177605,TMAX,17.26
177605,TMIN,10.56
177606,TMAX,22.87
177606,TMIN,16.18
177607,TMAX,25.56
177607,TMIN,18.4
177608,TMAX,25.04
177608,TMIN,17.34
177609,TMAX,19.51
177609,TMIN,13.27
177610,TMAX,13.62
177610,TMIN,8.84
177611,TMAX,6.52
177611,TMIN,3.36
177612,TMAX,1.72
177612,TMIN,-1.05
177701,TMAX,-0.64
177701,TMIN,-3.48
177702,TMAX,2.37
177702,TMIN,-0.96
177703,TMAX,9.98
177703,TMIN,4.5
177704,TMAX,12.6
177704,TMIN,6.36
177705,TMAX,18.25
177705,TMIN,11.9
177706,TMAX,21.56
177706,TMIN,14.72
177707,TMAX,23.28
177707,TMIN,16.67
177708,TMAX,25.18
177708,TMIN,17.37
177709,TMAX,20.02
177709,TMIN,13.03
177710,TMAX,14.73
177710,TMIN,8.84
177711,TMAX,8.87
177711,TMIN,5.52
177712,TMAX,1.31
177712,TMIN,-1.21
177801,TMAX,2.02
177801,TMIN,-0.61
177802,TMAX,3.03
177802,TMIN,-1.37
177803,TMAX,8.95
177803,TMIN,3.47
177804,TMAX,16.39
177804,TMIN,9.18
177805,TMAX,20.14
177805,TMIN,13.3
177806,TMAX,21.93
177806,TMIN,15.0
177807,TMAX,27.02
177807,TMIN,19.81
177808,TMAX,25.38
177808,TMIN,17.93
177809,TMAX,18.2
177809,TMIN,12.71
177810,TMAX,12.94
177810,TMIN,7.93
177811,TMAX,9.14
177811,TMIN,5.14
177812,TMAX,6.56
177812,TMIN,3.08
177901,TMAX,0.42
177901,TMIN,-4.26
177902,TMAX,8.05
177902,TMIN,1.46
177903,TMAX,11.43
177903,TMIN,3.37
177904,TMAX,17.96
177904,TMIN,9.01
177905,TMAX,21.1
177905,TMIN,14.74
177906,TMAX,20.92
177906,TMIN,14.51
177907,TMAX,24.54
177907,TMIN,18.25
177908,TMAX,24.0
177908,TMIN,18.16
177909,TMAX,22.03
177909,TMIN,15.52
177910,TMAX,16.01
177910,TMIN,10.94
177911,TMAX,7.86
177911,TMIN,4.12
177912,TMAX,6.01
177912,TMIN,2.73
178001,TMAX,0.01
178001,TMIN,-3.58
178002,TMAX,1.48
178002,TMIN,-3.09
178003,TMAX,12.66
178003,TMIN,5.83
178004,TMAX,13.2
178004,TMIN,6.54
178005,TMAX,20.31
178005,TMIN,13.57
178006,TMAX,23.15
178006,TMIN,16.39
178007,TMAX,25.06
178007,TMIN,18.59
178008,TMAX,24.26
178008,TMIN,17.72
178009,TMAX,19.16
178009,TMIN,12.78
178010,TMAX,15.91
178010,TMIN,10.51
178011,TMAX,7.13
178011,TMIN,3.93
178012,TMAX,1.75
178012,TMIN,-1.14
178101,TMAX,0.99
178101,TMIN,-2.43
178102,TMAX,4.72
178102,TMIN,0.73
178103,TMAX,10.8
178103,TMIN,4.12
178104,TMAX,15.72
178104,TMIN,9.11
178105,TMAX,20.45
178105,TMIN,12.75
178106,TMAX,23.71
178106,TMIN,17.18
178107,TMAX,25.9
178107,TMIN,19.97
178108,TMAX,26.4
178108,TMIN,19.3
178109,TMAX,21.82
178109,TMIN,15.5
178110,TMAX,12.55
178110,TMIN,8.06
178111,TMAX,7.77
178111,TMIN,4.2
178112,TMAX,3.46
178112,TMIN,0.87
178201,TMAX,2.79
178201,TMIN,-0.72
178202,TMAX,0.66
178202,TMIN,-3.68
178203,TMAX,8.54
178203,TMIN,2.47
178204,TMAX,12.32
178204,TMIN,7.17
178205,TMAX,18.6
178205,TMIN,12.23
178206,TMAX,24.69
178206,TMIN,17.42
178207,TMAX,27.14
178207,TMIN,20.14
178208,TMAX,25.17
178208,TMIN,18.51
178209,TMAX,20.36
178209,TMIN,13.86
178210,TMAX,11.8
178210,TMIN,7.36
178211,TMAX,3.74
178211,TMIN,0.79
178212,TMAX,2.37
178212,TMIN,-0.73
178301,TMAX,3.32
178301,TMIN,0.05
178302,TMAX,6.64
178302,TMIN,2.47
178303,TMAX,7.77
178303,TMIN,2.31
178304,TMAX,15.54
178304,TMIN,8.37
178305,TMAX,19.61
178305,TMIN,13.85
178306,TMAX,22.93
178306,TMIN,16.61
178307,TMAX,26.01
178307,TMIN,19.6
178308,TMAX,24.59
178308,TMIN,18.12
178309,TMAX,21.4
178309,TMIN,15.12
178310,TMAX,15.88
178310,TMIN,10.68
178311,TMAX,7.94
178311,TMIN,3.64
178312,TMAX,0.56
178312,TMIN,-2.57
178401,TMAX,-2.43
178401,TMIN,-6.46
178402,TMAX,1.33
178402,TMIN,-3.87
178403,TMAX,7.32
178403,TMIN,2.18
178404,TMAX,11.3
178404,TMIN,5.59
178405,TMAX,22.22
178405,TMIN,14.82
178406,TMAX,24.51
178406,TMIN,17.32
178407,TMAX,25.97
178407,TMIN,18.71
178408,TMAX,25.02
178408,TMIN,17.81
178409,TMAX,22.57
178409,TMIN,15.81
178410,TMAX,12.22
178410,TMIN,7.22
178411,TMAX,8.37
178411,TMIN,4.38
178412,TMAX,1.58
178412,TMIN,-1.71
178501,TMAX,0.78
178501,TMIN,-2.84
178502,TMAX,2.49
178502,TMIN,-2.65
178503,TMAX,3.03
178503,TMIN,-5.24
178504,TMAX,11.02
178504,TMIN,5.12
178505,TMAX,19.79
178505,TMIN,12.76
178506,TMAX,23.48
178506,TMIN,16.1
178507,TMAX,25.23
178507,TMIN,17.85
178508,TMAX,24.3
178508,TMIN,17.14
178509,TMAX,23.51
178509,TMIN,16.75
178510,TMAX,14.23
178510,TMIN,8.62
178511,TMAX,8.43
178511,TMIN,3.86
178512,TMAX,3.97
178512,TMIN,1.29
178601,TMAX,1.15
178601,TMIN,-2.78
178602,TMAX,4.43
178602,TMIN,-0.44
178603,TMAX,7.28
178603,TMIN,1.73
178604,TMAX,15.22
178604,TMIN,8.32
178605,TMAX,18.82
178605,TMIN,12.1
178606,TMAX,23.53
178606,TMIN,16.24
178607,TMAX,22.98
178607,TMIN,16.31
178608,TMAX,22.13
178608,TMIN,15.84
178609,TMAX,19.04
178609,TMIN,12.36
178610,TMAX,11.04
178610,TMIN,5.85
178611,TMAX,4.22
178611,TMIN,1.32
178612,TMAX,2.19
178612,TMIN,-0.55
178701,TMAX,0.03
178701,TMIN,-3.1
178702,TMAX,4.38
178702,TMIN,-0.16
178703,TMAX,9.39
178703,TMIN,4.13
178704,TMAX,12.59
178704,TMIN,7.26
178705,TMAX,17.83
178705,TMIN,10.77
178706,TMAX,25.42
178706,TMIN,18.39
178707,TMAX,25.04
178707,TMIN,19.08
178708,TMAX,26.25
178708,TMIN,19.65
178709,TMAX,20.65
178709,TMIN,13.52
178710,TMAX,16.36
178710,TMIN,10.81
178711,TMAX,8.71
178711,TMIN,5.82
178712,TMAX,5.58
178712,TMIN,3.33
178801,TMAX,4.67
178801,TMIN,1.51
178802,TMAX,4.92
178802,TMIN,0.82
178803,TMAX,9.99
178803,TMIN,4.95
178804,TMAX,15.86
178804,TMIN,8.75
178805,TMAX,20.92
178805,TMIN,13.64
178806,TMAX,24.78
178806,TMIN,18.21
178807,TMAX,28.01
178807,TMIN,21.15
178808,TMAX,23.67
178808,TMIN,17.86
178809,TMAX,21.79
178809,TMIN,15.06
178810,TMAX,14.43
178810,TMIN,9.49
178811,TMAX,6.66
178811,TMIN,2.99
178812,TMAX,-2.83
178812,TMIN,-6.26
178901,TMAX,-1.37
178901,TMIN,-5.74
178902,TMAX,6.16
178902,TMIN,2.04
178903,TMAX,5.28
178903,TMIN,0.73
178904,TMAX,16.11
178904,TMIN,9.3
178905,TMAX,23.43
178905,TMIN,15.41
178906,TMAX,23.17
178906,TMIN,15.43
178907,TMAX,26.24
178907,TMIN,18.56
178908,TMAX,24.79
178908,TMIN,17.78
178909,TMAX,20.79
178909,TMIN,14.72
178910,TMAX,14.58
178910,TMIN,9.98
178911,TMAX,7.36
178911,TMIN,3.94
178912,TMAX,3.19
178912,TMIN,0.29
179001,TMAX,2.77
179001,TMIN,-0.49
179002,TMAX,7.56
179002,TMIN,2.39
179003,TMAX,10.45
179003,TMIN,3.45
179004,TMAX,12.42
179004,TMIN,5.96
179005,TMAX,21.36
179005,TMIN,14.09
179006,TMAX,24.51
179006,TMIN,16.58
179007,TMAX,24.61
179007,TMIN,17.16
179008,TMAX,25.09
179008,TMIN,18.36
179009,TMAX,19.96
179009,TMIN,13.79
179010,TMAX,15.03
179010,TMIN,10.12
179011,TMAX,7.74
179011,TMIN,4.7
179012,TMAX,4.29
179012,TMIN,1.14
179101,TMAX,5.5
179101,TMIN,1.75
179102,TMAX,6.08
179102,TMIN,2.09
179103,TMAX,11.4
179103,TMIN,5.05
179104,TMAX,16.85
179104,TMIN,10.46
179105,TMAX,19.49
179105,TMIN,12.46
179106,TMAX,23.05
179106,TMIN,15.67
179107,TMAX,25.95
179107,TMIN,18.72
179108,TMAX,26.98
179108,TMIN,19.26
179109,TMAX,21.19
179109,TMIN,14.16
179110,TMAX,14.69
179110,TMIN,9.2
179111,TMAX,6.27
179111,TMIN,3.3
179112,TMAX,4.79
179112,TMIN,2.02
179201,TMAX,2.16
179201,TMIN,-1.49
179202,TMAX,4.66
179202,TMIN,-0.93
179203,TMAX,11.11
179203,TMIN,4.9
179204,TMAX,17.1
179204,TMIN,9.41
179205,TMAX,19.24
179205,TMIN,13.19
179206,TMAX,24.01
179206,TMIN,16.78
179207,TMAX,26.81
179207,TMIN,19.31
179208,TMAX,25.13
179208,TMIN,17.74
179209,TMAX,19.77
179209,TMIN,14.23
179210,TMAX,14.01
179210,TMIN,9.7
179211,TMAX,8.45
179211,TMIN,4.36
179212,TMAX,4.19
179212,TMIN,0.52
179301,TMAX,0.32
179301,TMIN,-3.53
179302,TMAX,5.92
179302,TMIN,1.51
179303,TMAX,9.22
179303,TMIN,3.8
179304,TMAX,12.43
179304,TMIN,6.64
179305,TMAX,18.89
179305,TMIN,12.48
179306,TMAX,23.15
179306,TMIN,15.48
179307,TMAX,28.05
179307,TMIN,19.59
179308,TMAX,26.66
179308,TMIN,19.25
179309,TMAX,20.47
179309,TMIN,14.79
179310,TMAX,16.47
179310,TMIN,11.6
179311,TMAX,9.36
179311,TMIN,6.29
179312,TMAX,6.22
179312,TMIN,3.47
179401,TMAX,4.22
179401,TMIN,1.72
179402,TMAX,8.99
179402,TMIN,3.93
179403,TMAX,12.74
179403,TMIN,5.84
179404,TMAX,18.4
179404,TMIN,11.45
179405,TMAX,20.63
179405,TMIN,13.13
179406,TMAX,24.78
179406,TMIN,17.04
179407,TMAX,28.25
179407,TMIN,20.54
179408,TMAX,24.29
179408,TMIN,17.37
179409,TMAX,18.79
179409,TMIN,13.52
179410,TMAX,14.22
179410,TMIN,9.7
179411,TMAX,9.13
179411,TMIN,5.93
179412,TMAX,2.62
179412,TMIN,-0.52
179501,TMAX,-3.52
179501,TMIN,-8.47
179502,TMAX,2.75
179502,TMIN,-1.97
179503,TMAX,8.96
179503,TMIN,3.5
179504,TMAX,16.92
179504,TMIN,9.65
179505,TMAX,21.1
179505,TMIN,13.26
179506,TMAX,24.16
179506,TMIN,16.3
179507,TMAX,23.2
179507,TMIN,16.75
179508,TMAX,25.35
179508,TMIN,18.37
179509,TMAX,21.29
179509,TMIN,14.5
179510,TMAX,17.36
179510,TMIN,12.27
179511,TMAX,7.29
179511,TMIN,3.62
179512,TMAX,6.05
179512,TMIN,2.96
179601,TMAX,6.57
179601,TMIN,2.92
179602,TMAX,5.91
179602,TMIN,1.57
179603,TMAX,6.93
179603,TMIN,0.03
179604,TMAX,13.88
179604,TMIN,6.26
179605,TMAX,19.64
179605,TMIN,12.92
179606,TMAX,23.49
179606,TMIN,15.97
179607,TMAX,25.93
179607,TMIN,17.58
179608,TMAX,25.19
179608,TMIN,18.4
179609,TMAX,22.37
179609,TMIN,15.92
179610,TMAX,14.91
179610,TMIN,10.17
179611,TMAX,8.29
179611,TMIN,5.15
179612,TMAX,2.02
179612,TMIN,-1.88
179701,TMAX,2.85
179701,TMIN,0.14
179702,TMAX,5.79
179702,TMIN,0.86
179703,TMAX,8.2
179703,TMIN,1.89
179704,TMAX,15.88
179704,TMIN,9.31
179705,TMAX,22.63
179705,TMIN,14.85
179706,TMAX,21.68
179706,TMIN,15.54
179707,TMAX,26.95
179707,TMIN,18.65
179708,TMAX,27.74
179708,TMIN,19.06
179709,TMAX,22.35
179709,TMIN,15.88
179710,TMAX,14.33
179710,TMIN,9.03
179711,TMAX,8.68
179711,TMIN,4.73
179712,TMAX,5.08
179712,TMIN,1.83
179801,TMAX,3.89
179801,TMIN,0.5
179802,TMAX,7.51
179802,TMIN,2.14
179803,TMAX,9.21
179803,TMIN,3.05
179804,TMAX,15.57
179804,TMIN,7.21
179805,TMAX,21.59
179805,TMIN,14.04
179806,TMAX,24.65
179806,TMIN,17.38
179807,TMAX,26.43
179807,TMIN,18.89
179808,TMAX,26.45
179808,TMIN,19.2
179809,TMAX,22.66
179809,TMIN,16.31
179810,TMAX,14.83
179810,TMIN,9.0
179811,TMAX,6.56
179811,TMIN,2.7
179812,TMAX,-0.58
179812,TMIN,-4.17
179901,TMAX,-3.79
179901,TMIN,-8.76
179902,TMAX,2.5
179902,TMIN,-3.24
179903,TMAX,8.51
179903,TMIN,3.06
179904,TMAX,12.27
179904,TMIN,6.59
179905,TMAX,18.9
179905,TMIN,12.21
179906,TMAX,21.68
179906,TMIN,14.8
179907,TMAX,24.62
179907,TMIN,17.45
179908,TMAX,25.53
179908,TMIN,17.71
179909,TMAX,20.33
179909,TMIN,14.4
179910,TMAX,14.29
179910,TMIN,9.1
179911,TMAX,7.37
179911,TMIN,3.49
179912,TMAX,0.1
179912,TMIN,-2.95
180001,TMAX,2.69
180001,TMIN,-0.31
180002,TMAX,3.85
180002,TMIN,0.52
180003,TMAX,5.37
180003,TMIN,-0.3
180004,TMAX,19.76
180004,TMIN,12.25
180005,TMAX,22.25
180005,TMIN,15.22
180006,TMAX,21.55
180006,TMIN,14.69
180007,TMAX,24.97
180007,TMIN,17.9
180008,TMAX,25.65
180008,TMIN,17.57
180009,TMAX,20.82
180009,TMIN,15.17
180010,TMAX,14.28
180010,TMIN,9.38
180011,TMAX,8.89
180011,TMIN,5.59
180012,TMAX,3.3
180012,TMIN,0.87
180101,TMAX,3.51
180101,TMIN,0.15
180102,TMAX,4.69
180102,TMIN,0.26
180103,TMAX,11.53
180103,TMIN,5.31
180104,TMAX,15.28
180104,TMIN,8.24
180105,TMAX,22.19
180105,TMIN,14.11
180106,TMAX,22.54
180106,TMIN,15.42
180107,TMAX,25.01
180107,TMIN,18.12
180108,TMAX,24.5
180108,TMIN,16.98
180109,TMAX,21.76
180109,TMIN,16.04
180110,TMAX,15.65
180110,TMIN,11.31
180111,TMAX,9.4
180111,TMIN,6.29
180112,TMAX,3.91
180112,TMIN,0.76
180201,TMAX,1.04
180201,TMIN,-3.36
180202,TMAX,4.49
180202,TMIN,0.44
180203,TMAX,9.4
180203,TMIN,4.01
180204,TMAX,16.18
180204,TMIN,8.02
180205,TMAX,19.33
180205,TMIN,11.7
180206,TMAX,24.8
180206,TMIN,16.88
180207,TMAX,25.6
180207,TMIN,18.22
180208,TMAX,27.98
180208,TMIN,19.49
180209,TMAX,21.86
180209,TMIN,14.5
180210,TMAX,18.03
180210,TMIN,12.38
180211,TMAX,8.78
180211,TMIN,5.76
180212,TMAX,4.81
180212,TMIN,2.0
180301,TMAX,0.83
180301,TMIN,-1.95
180302,TMAX,0.62
180302,TMIN,-3.74
180303,TMAX,8.68
180303,TMIN,3.2
180304,TMAX,18.36
180304,TMIN,10.38
180305,TMAX,18.18
180305,TMIN,12.02
180306,TMAX,24.01
180306,TMIN,17.02
180307,TMAX,26.43
180307,TMIN,19.0
180308,TMAX,25.91
180308,TMIN,18.56
180309,TMAX,18.86
180309,TMIN,12.63
180310,TMAX,13.65
180310,TMIN,8.75
180311,TMAX,8.5
180311,TMIN,4.86
180312,TMAX,3.17
180312,TMIN,0.59
180401,TMAX,5.98
180401,TMIN,2.97
180402,TMAX,3.01
180402,TMIN,-1.35
180403,TMAX,7.67
180403,TMIN,1.93
180404,TMAX,13.86
180404,TMIN,7.88
180405,TMAX,21.15
180405,TMIN,14.33
180406,TMAX,24.41
180406,TMIN,17.79
180407,TMAX,25.41
180407,TMIN,18.82
180408,TMAX,24.33
180408,TMIN,17.29
180409,TMAX,22.25
180409,TMIN,14.74
180410,TMAX,15.35
180410,TMIN,10.39
180411,TMAX,5.76
180411,TMIN,2.39
180412,TMAX,1.06
180412,TMIN,-1.71
180501,TMAX,-0.79
180501,TMIN,-4.02
180502,TMAX,3.85
180502,TMIN,-1.44
180503,TMAX,8.4
180503,TMIN,2.24
180504,TMAX,11.81
180504,TMIN,5.37
180505,TMAX,18.08
180505,TMIN,11.24
180506,TMAX,22.82
180506,TMIN,15.65
180507,TMAX,24.56
180507,TMIN,17.74
180508,TMAX,23.45
180508,TMIN,17.13
180509,TMAX,21.7
180509,TMIN,15.14
180510,TMAX,11.69
180510,TMIN,6.98
180511,TMAX,4.77
180511,TMIN,0.23
180512,TMAX,2.73
180512,TMIN,-0.55
180601,TMAX,3.87
180601,TMIN,0.56
180602,TMAX,6.58
180602,TMIN,2.75
180603,TMAX,9.35
180603,TMIN,4.07
180604,TMAX,11.94
180604,TMIN,5.88
180605,TMAX,21.68
180605,TMIN,13.94
180606,TMAX,23.24
180606,TMIN,16.29
180607,TMAX,24.58
180607,TMIN,17.99
180608,TMAX,23.75
180608,TMIN,17.46
180609,TMAX,21.36
180609,TMIN,14.94
180610,TMAX,14.47
180610,TMIN,8.94
180611,TMAX,9.68
180611,TMIN,5.76
180612,TMAX,6.81
180612,TMIN,3.76
180701,TMAX,2.86
180701,TMIN,-0.75
180702,TMAX,5.89
180702,TMIN,1.05
180703,TMAX,5.97
180703,TMIN,1.02
180704,TMAX,13.04
180704,TMIN,5.93
180705,TMAX,21.98
180705,TMIN,13.95
180706,TMAX,23.14
180706,TMIN,16.35
180707,TMAX,26.98
180707,TMIN,19.54
180708,TMAX,29.28
180708,TMIN,20.99
180709,TMAX,20.67
180709,TMIN,14.22
180710,TMAX,16.17
180710,TMIN,10.51
180711,TMAX,9.0
180711,TMIN,5.98
180712,TMAX,3.25
180712,TMIN,0.76
180801,TMAX,1.53
180801,TMIN,-2.02
180802,TMAX,3.07
180802,TMIN,-1.99
180803,TMAX,4.19
180803,TMIN,-2.05
180804,TMAX,12.94
180804,TMIN,5.74
180805,TMAX,22.32
180805,TMIN,14.49
180806,TMAX,22.8
180806,TMIN,16.11
180807,TMAX,27.29
180807,TMIN,19.22
180808,TMAX,26.6
180808,TMIN,19.21
180809,TMAX,21.48
180809,TMIN,15.42
180810,TMAX,12.33
180810,TMIN,7.36
180811,TMAX,7.05
180811,TMIN,3.88
180812,TMAX,-0.7
180812,TMIN,-4.36
180901,TMAX,1.23
180901,TMIN,-2.69
180902,TMAX,7.27
180902,TMIN,2.36
180903,TMAX,8.97
180903,TMIN,2.67
180904,TMAX,10.5
180904,TMIN,4.96
180905,TMAX,21.45
180905,TMIN,13.32
180906,TMAX,23.66
180906,TMIN,16.57
180907,TMAX,25.06
180907,TMIN,18.21
180908,TMAX,25.92
180908,TMIN,18.06
180909,TMAX,20.63
180909,TMIN,14.33
180910,TMAX,13.68
180910,TMIN,8.42
180911,TMAX,6.65
180911,TMIN,3.59
180912,TMAX,4.1
180912,TMIN,1.49
181001,TMAX,0.3
181001,TMIN,-2.73
181002,TMAX,2.6
181002,TMIN,-2.02
181003,TMAX,10.2
181003,TMIN,4.98
181004,TMAX,13.44
181004,TMIN,6.94
181005,TMAX,19.82
181005,TMIN,12.82
181006,TMAX,21.22
181006,TMIN,14.24
181007,TMAX,25.52
181007,TMIN,18.02
181008,TMAX,24.67
181008,TMIN,17.2
181009,TMAX,23.15
181009,TMIN,15.19
181010,TMAX,15.19
181010,TMIN,9.49
181011,TMAX,7.59
181011,TMIN,4.72
181012,TMAX,5.5
181012,TMIN,2.21
181101,TMAX,-1.35
181101,TMIN,-5.33
181102,TMAX,4.81
181102,TMIN,0.44
181103,TMAX,11.64
